Drug Name,Age,Degree
Pilocarpine,1673,3
Physostigmine,1697,8
Phenobarbital,1265,227
Barbital,1361,0
Morphine,2393,184
Codeine,2213,83
Oxycodone,1193,120
Menthol,2909,0
Heroin,1421,0
Dihydromorphine,1241,0
Caffeine,1277,159
Theophylline,1373,187
Papaverine,1229,14
Aminophylline,1301,134
Quinine,2273,207
Quinidine,1181,146
Benzocaine,1373,4
Ouabain,1301,0
Ethanol,3041,276
Epinephrine,1385,114
Apomorphine,1769,20
Procaine,1337,1
Cocaine,1589,72
Ephedra,1565,4
Atropine,1673,38
Homatropine Methylbromide,1637,0
Scopolamine,1373,52
Podofilox,2357,0
Acetaminophen,1565,98
Salicylic acid,1697,0
Acetylsalicylic acid,1409,255
Salicylate-sodium,1697,0
Antipyrine,1577,1
