Drug Name,Age,Degree
Levamisole,529,4
Succinylcholine,757,13
Carbachol,769,1
Bethanechol,805,1
Ambenonium,781,8
Decamethonium,793,0
Cytisine,613,0
Pyridostigmine,721,11
Isoflurophate,793,0
Hexafluronium,721,0
Demecarium,673,1
Edrophonium,769,8
Echothiophate,673,1
Neostigmine,1009,6
Dimetacrine,577,0
Tubocurarine,841,15
Butabarbital,997,50
Butalbital,541,49
Talbutal,721,29
Pentobarbital,1021,41
Secobarbital,973,35
Metharbital,805,0
Thiopental,973,32
Primidone,781,62
Methylphenobarbital,997,31
Amobarbital,1093,35
Aprobarbital,1141,29
Butethal,1105,29
Heptabarbital,805,29
Hexobarbital,997,29
Levallorphan,769,0
Anileridine,685,0
Naloxone,553,0
Oxymorphone,673,3
Hydromorphone,1069,3
Methadone,817,56
Pethidine,865,23
Dextromethorphan,745,23
Dextropropoxyphene,697,12
Pentazocine,613,2
Fentanyl,625,22
Loperamide,481,0
Levorphanol,769,3
Hydrocodone,1093,3
Diphenoxylate,661,3
Pentolinium,757,0
Trimethaphan,745,0
Halothane,709,4
Ketamine,625,5
Phencyclidine,781,2
Ketobemidone,757,0
Ifenprodil,517,0
Chloroquine,817,20
Dyphylline,805,35
Pentoxifylline,517,11
Dipyridamole,649,6
Primaquine,757,5
Oxtriphylline,769,72
Tofisopam,481,0
Phenytoin,925,151
Clotrimazole,505,14
Lidocaine,805,29
Bupivacaine,601,1
Hexylcaine,757,0
Cinchocaine,853,0
Mephenytoin,841,65
Carbamazepine,625,110
Dyclonine,709,0
Prilocaine,625,0
Ethotoin,697,66
Proparacaine,745,0
Benzonatate,685,0
Oxybuprocaine,745,0
Mepivacaine,673,0
Cromoglicic acid,565,0
Procainamide,721,32
Miconazole,529,29
Phenacemide,793,0
Econazole,493,0
Ajmaline,685,0
Phenazopyridine,661,0
Drotaverine,601,0
Methyclothiazide,661,4
Chlorthalidone,661,10
Ethoxzolamide,697,0
Diltiazem,493,48
Trimethadione,829,2
Methocarbamol,697,1
Bendroflumethiazide,673,8
Acetyldigitoxin,733,0
Metolazone,505,8
Benzthiazide,661,2
Ethosuximide,661,3
Cyclothiazide,625,2
Verapamil,625,93
Furosemide,613,23
Methazolamide,673,9
Hydroflumethiazide,673,4
Acetazolamide,745,9
Chlorothiazide,697,10
Bumetanide,517,17
Ethacrynic acid,589,18
Hydrochlorothiazide,673,12
Trichlormethiazide,661,10
Ethinamate,721,0
Nifedipine,481,35
Diazoxide,541,10
Diclofenamide,685,4
Bretylium,505,11
Polythiazide,649,4
Quinethazone,625,2
Digitoxin,793,13
Cyclandelate,685,1
Methsuximide,697,3
Mafenide,805,0
Cinnarizine,649,0
Chlormerodrin,757,0
Pyridoxal Phosphate,913,0
L-Alanine,529,0
Baclofen,529,1
Enflurane,517,2
Valproic Acid,577,18
Meprobamate,721,0
Clorazepate,577,21
Methoxyflurane,637,5
Methyprylon,721,0
Thiamylal,769,0
Chlormezanone,685,0
Glutethimide,733,8
Flunitrazepam,493,1
Phenformin,673,0
Glisoxepide,493,17
Amphetamine,997,18
Phentermine,673,30
Reserpine,745,25
Isoetarine,889,1
Etomidate,517,0
Dihydroergotamine,829,64
Protriptyline,589,48
Norepinephrine,781,20
Alseroxylon,757,7
Phenylpropanolamine,925,46
Methylphenidate,721,9
Fenfluramine,625,30
Clonidine,589,30
Mazindol,481,27
Lisuride,565,0
Metaraminol,733,16
Ergotamine,1129,64
Methoxamine,793,18
Tranylcypromine,661,112
Phenelzine,673,85
Orciprenaline,649,39
Phenmetrazine,733,13
Pseudoephedrine,685,26
Benzphetamine,661,24
Ritodrine,481,0
Terbutaline,541,39
Amantadine,589,8
Oxymetazoline,649,1
Diethylpropion,673,27
Dopamine,493,21
Salbutamol,553,26
Isoprenaline,793,28
Deserpidine,697,7
Chloroprocaine,757,0
Acebutolol,505,38
Bromocriptine,481,36
L-DOPA,577,13
Clomipramine,565,70
Isocarboxazid,673,86
Ergonovine,913,35
Hydralazine,757,3
Fenoterol,529,39
Ephedrine,1069,21
Mephentermine,817,17
Ginkgo biloba,505,52
Fencamfamine,637,0
Methamphetamine,865,22
Phendimetrazine,649,21
Pargyline,625,10
Xylometazoline,673,0
Isometheptene,805,1
Levonordefrin,661,1
Naphazoline,877,0
Propylhexedrine,793,0
Captodiame,685,0
Trimipramine,613,174
Chlorphenamine,793,13
Timolol,493,61
Sotalol,493,51
Amiodarone,637,71
Metoprolol,481,52
Atenolol,481,43
Propranolol,613,63
Alprenolol,577,0
Practolol,541,22
Oxprenolol,541,37
Bupranolol,553,0
Betazole,745,0
Methysergide,673,40
Amitriptyline,649,76
Ipratropium bromide,493,4
Metixene,661,0
Methylergometrine,829,24
Clozapine,517,65
Thiethylperazine,649,13
Trihexyphenidyl,793,11
Oxyphencyclimine,673,1
Procyclidine,721,7
Sulpiride,565,0
Ethopropazine,757,12
Loxapine,481,19
Promazine,709,15
Hyoscyamine,661,8
Prochlorperazine,709,29
Cyproheptadine,649,8
Droperidol,625,23
Prazosin,493,25
Imipramine,673,77
Methylscopolamine bromide,817,7
Chlorpromazine,757,50
Gallamine Triethiodide,769,0
Haloperidol,673,58
Tridihexethyl,733,1
Triflupromazine,697,15
Anisotropine Methylbromide,637,1
Nortriptyline,625,72
Fluphenazine,673,28
Histamine Phosphate,913,0
Thioridazine,673,90
Phentolamine,757,4
Nicergoline,517,0
Benzquinamide,493,0
Clidinium,649,10
Propiomazine,661,13
Propantheline,745,7
Cryptenamine,733,0
Tolazoline,805,3
Dicyclomine,781,8
Tropicamide,769,0
Trifluoperazine,685,30
Brompheniramine,721,7
Perphenazine,697,31
Flupentixol,601,18
Phenoxybenzamine,745,4
Mesoridazine,541,73
Maprotiline,517,28
Glycopyrrolate,649,8
Carphenazine,637,0
Ergoloid mesylate,745,10
Oxybutynin,481,8
Acetophenazine,649,15
Promethazine,793,37
Pimozide,529,49
Doxepin,553,72
Flavoxate,541,7
Desipramine,625,75
Diphenidol,577,0
Metoclopramide,613,9
Chlorprothixene,661,4
Pancuronium,517,18
Methotrimeprazine,685,46
Propericiazine,553,18
Molindone,493,7
Thioproperazine,661,3
Thiothixene,577,93
Isopropamide,697,3
Fluspirilene,517,0
Mepenzolate,709,5
Tetrabenazine,661,50
Mianserin,481,0
Betahistine,565,0
Mecamylamine,709,0
Diphemanil Methylsulfate,757,0
Biperiden,673,8
Cycrimine,745,0
Cyclopentolate,745,3
Lindane,769,0
Methohexital,661,33
Dacarbazine,481,3
Orphenadrine,697,9
Benzatropine,733,8
Clemastine,577,7
Buclizine,697,0
Doxylamine,805,7
Dexbrompheniramine,673,6
Triprolidine,745,200
Hydroxyzine,709,10
Trazodone,517,118
Azatadine,565,3
Meclizine,745,7
Carbinoxamine,745,8
Tripelennamine,829,2
Methdilazine,661,12
Dimenhydrinate,793,7
Diphenhydramine,829,13
Diphenylpyraline,769,2
Cyclizine,745,7
Alimemazine,685,17
Phenindamine,817,6
Pheniramine,805,0
Clofedanol,685,0
Mepyramine,805,0
Antazoline,805,0
Dimetindene,661,0
Isothipendyl,697,0
Chlorcyclizine,793,0
Butriptyline,481,0
Dinoprostone,517,2
Dinoprost Tromethamine,481,0
Suramin,1141,0
Progesterone,961,1
Tamoxifen,505,78
Clomifene,589,23
Rifampicin,565,164
Diethylstilbestrol,889,24
Chlorotrianisene,757,8
Conjugated Estrogens,889,24
Levonorgestrel,589,27
Dydrogesterone,649,0
Spironolactone,673,23
Medroxyprogesterone Acetate,685,28
Oxandrolone,613,1
Testosterone,937,6
Estrone,769,8
Norethindrone,697,37
Estradiol,949,24
Ethynodiol,601,6
Drostanolone,649,0
Dienestrol,769,0
Ethinylestradiol,925,0
Nandrolone phenpropionate,673,1
Fluoxymesterone,709,4
Estramustine,505,3
Mestranol,697,49
Danazol,517,10
Testosterone Propionate,937,4
Allylestrenol,649,0
Estropipate,565,8
Quinestrol,565,7
Cyproterone acetate,505,0
Methyltestosterone,949,0
Nandrolone decanoate,637,1
Medrysone,541,0
Fluorometholone,673,0
Megestrol acetate,625,19
Beclomethasone,517,0
Betamethasone,649,39
Desoximetasone,565,0
Fluocinolone Acetonide,649,0
Triamcinolone,685,39
Prednisone,733,57
Flumethasone (pivalate),613,0
Fludrocortisone,733,39
Hydrocortisone,889,43
Hydrocortamate,709,0
Flurandrenolide,637,0
Prednisolone,721,52
Methylprednisolone,721,19
Clobetasol propionate,505,2
Fluocinonide,541,0
Dexamethasone,685,53
Desonide,517,0
Cortisone acetate,781,12
Paramethasone,649,8
Heparin,913,10
Rescinnamine,709,0
Doxycycline,577,72
Lymecycline,625,0
Framycetin,589,0
Oxytetracycline,781,21
Demeclocycline,673,46
Tobramycin,493,61
Spectinomycin,529,0
Methacycline,625,19
Neomycin,769,8
Minocycline,529,49
Streptomycin,829,11
Kanamycin,685,10
Rolitetracycline,673,16
Paromomycin,661,0
Daunorubicin,565,1
Doxorubicin,529,7
Vincristine,625,35
Colchicine,649,18
Sodium stibogluconate,901,0
Acetohexamide,625,22
Glyburide,529,35
Tolbutamide,709,61
Amiloride,529,28
Clofibrate,625,17
Chlorpropamide,685,40
Fenofibrate,481,14
Glipizide,529,20
Gliquidone,481,0
Ibuprofen,553,45
Aminosalicylic Acid,805,9
Indomethacin,625,47
Fenoprofen,493,16
Diclofenac,493,22
Diethylcarbamazine,793,0
Mefenamic acid,625,18
Naproxen,505,20
Sulfasalazine,781,7
Phenylbutazone,757,19
Ketoprofen,505,27
Tiaprofenic acid,481,25
Niflumic Acid,565,0
Acetylcysteine,565,0
