Drug Name,Age,Degree
Dimetacrine,642,1718
Butabarbital,1062,1630
Butalbital,606,1306
Pentobarbital,1086,1883
Secobarbital,1038,1868
Thiopental,1038,1458
Primidone,846,1594
Methylphenobarbital,1062,1476
Phenobarbital,1314,1699
Amobarbital,1158,1293
Hexobarbital,1062,1416
Barbital,1410,1382
Alfentanil,450,1515
Buprenorphine,510,1521
Tramadol,522,1944
Morphine,2442,1377
Codeine,2262,1631
Hydromorphone,1134,1612
Methadone,882,2093
Oxycodone,1242,1243
Dextromethorphan,810,1347
Sufentanil,498,1327
Fentanyl,690,1961
Loperamide,546,1390
Remifentanil,294,1330
Felbamate,330,1353
Halothane,774,1421
Ketamine,690,1876
Tadalafil,222,1334
Theophylline,1422,1287
Chloroquine,882,1577
Pentoxifylline,582,1554
Cilostazol,258,1854
Quinine,2322,2131
Fluconazole,390,1527
Ranolazine,174,1491
Phenytoin,990,1851
Mephenytoin,906,1470
Lamotrigine,366,2140
Carbamazepine,690,2270
Propofol,378,1778
Quinidine,1230,2477
Procainamide,786,1531
Propafenone,522,1536
Fosphenytoin,294,1670
Torasemide,330,1602
Pregabalin,198,1827
Methyclothiazide,726,1474
Isradipine,378,1759
Topiramate,294,1587
Chlorthalidone,726,1431
Diltiazem,558,1658
Trimethadione,894,1794
Nisoldipine,366,1629
Bendroflumethiazide,738,1684
Metolazone,570,1534
Lercanidipine,282,1355
Benzthiazide,726,1417
Ethosuximide,726,1625
Cyclothiazide,690,1504
Verapamil,690,1958
Furosemide,678,1515
Hydroflumethiazide,738,1626
Indapamide,522,1733
Acetazolamide,810,1559
Chlorothiazide,762,1646
Bumetanide,582,1352
Zonisamide,378,2210
Hydrochlorothiazide,738,1909
Trichlormethiazide,726,1626
Felodipine,390,1581
Nitrendipine,426,1407
Nifedipine,546,1945
Bepridil,474,1376
Polythiazide,714,1624
Mibefradil,282,1572
Methsuximide,762,1654
Cinnarizine,714,1372
Baclofen,594,1595
Eszopiclone,198,1678
Zolpidem,390,1341
Isoflurane,498,1569
Ethanol,3090,1542
Methoxyflurane,702,1470
Thiamylal,834,1363
Desflurane,342,1364
Sevoflurane,366,1691
Ketazolam,486,1512
Perampanel,102,1348
Fluvoxamine,450,2037
Amphetamine,1062,2032
Phentermine,738,1494
Reserpine,810,1881
Citalopram,378,1664
Eletriptan,234,1425
Cabergoline,330,1539
Venlafaxine,330,2034
Etomidate,582,1587
Zolmitriptan,282,1352
Dihydroergotamine,894,1373
Protriptyline,654,1617
Pramipexole,282,1464
Methylphenidate,786,1274
Fluoxetine,402,1806
Duloxetine,198,2215
Clonidine,654,1670
Lisuride,630,1359
Cisapride,366,1547
Dexmedetomidine,258,1765
Epinephrine,1434,1278
Sumatriptan,366,1789
Ergotamine,1194,1409
Tizanidine,294,1528
Apomorphine,1818,1461
Procaine,1386,1403
Tranylcypromine,726,1663
Phenelzine,738,2009
Minaprine,498,1592
Dobutamine,522,1326
Benzphetamine,726,1396
Terbutaline,606,1564
Cocaine,1638,1275
Amantadine,654,1443
Almotriptan,246,1824
Diethylpropion,738,1286
Rizatriptan,270,1585
Pindolol,510,2045
Formoterol,414,1363
Dopamine,558,1292
Frovatriptan,246,1348
Salbutamol,618,1462
Guanfacine,486,1718
Selegiline,462,1808
Sertraline,354,1467
Sibutramine,306,1602
Bupropion,462,1663
Moclobemide,378,1620
Acebutolol,570,1452
Bromocriptine,546,1717
Clomipramine,630,2129
Isocarboxazid,738,1378
Arformoterol,174,1690
Hydralazine,822,1264
Rasagiline,186,1931
Pargyline,690,1395
Milnacipran,138,1883
Lofexidine,474,2002
Rotigotine,174,1353
Droxidopa,378,1310
Vilazodone,114,1377
Desvenlafaxine,150,1850
Mirabegron,102,1658
Levomilnacipran,90,1946
Trimipramine,678,1734
Nefazodone,318,2104
Escitalopram,222,1650
Betaxolol,450,1517
Timolol,558,1853
Sotalol,558,1375
Amiodarone,702,1728
Esmolol,414,1371
Metoprolol,546,1926
Atenolol,546,1328
Propranolol,678,2010
Labetalol,522,1827
Bisoprolol,414,1663
Alprenolol,642,1705
Nadolol,510,1677
Practolol,606,1290
Penbutolol,486,2041
Oxprenolol,606,1808
Nebivolol,282,1362
Bupranolol,618,1423
Palonosetron,210,1557
Doxazosin,390,1349
Ondansetron,366,1434
Dronedarone,138,1497
Ziprasidone,234,1961
Methysergide,738,1508
Disopyramide,522,2178
Amitriptyline,714,2340
Olanzapine,294,1806
Clozapine,582,2437
Thiethylperazine,714,1478
Promazine,774,1847
Prochlorperazine,774,1488
Droperidol,690,1389
Imipramine,738,2260
Chlorpromazine,822,2437
Buspirone,414,1500
Haloperidol,738,2271
Nortriptyline,690,1935
Amoxapine,486,1750
Atropine,1722,1500
Nicardipine,474,2010
Thioridazine,738,1647
Tamsulosin,330,1393
Paroxetine,354,1795
Risperidone,330,1740
Propiomazine,726,1313
Propantheline,810,1538
Dicyclomine,846,1534
Trifluoperazine,750,1483
Brompheniramine,786,1261
Flupentixol,666,1517
Maprotiline,582,1963
Tolterodine,270,1936
Oxybutynin,546,1383
Promethazine,858,2020
Pimozide,594,1579
Carvedilol,354,1694
Doxepin,618,2273
Flavoxate,606,1536
Desipramine,690,2350
Quetiapine,294,2170
Metoclopramide,678,1956
Aripiprazole,222,1962
Paliperidone,174,2135
Pancuronium,582,1319
Methotrimeprazine,750,1739
Tiotropium,222,1702
Solifenacin,198,1546
Thioproperazine,726,1278
Zuclopenthixol,306,1761
Fluspirilene,582,1522
Iloperidone,138,1787
Mianserin,546,1505
Asenapine,138,1699
Fesoterodine,162,1716
Lurasidone,126,1477
Aclidinium,102,1538
Mecamylamine,774,1475
Methohexital,726,1278
Dacarbazine,546,1307
Orphenadrine,762,1450
Benzatropine,798,1857
Cetirizine,402,1590
Terfenadine,450,1687
Mirtazapine,318,1651
Cimetidine,522,1541
Trazodone,582,1754
Ranitidine,474,1323
Azelastine,414,1421
Diphenhydramine,894,1481
Flunarizine,522,1765
Butriptyline,546,1505
Epoprostenol,306,1500
Sorafenib,186,1972
Imatinib,234,1569
Dasatinib,174,1398
Sunitinib,174,1421
Tamoxifen,570,1408
Eplerenone,222,1428
Efavirenz,270,1597
Sitagliptin,174,1477
Alogliptin,90,1408
Saxagliptin,138,1399
Testosterone,1002,1435
Estradiol,1014,1905
Mifepristone,390,1512
Ethinylestradiol,990,1427
Budesonide,474,1629
Drospirenone,246,1520
